Category,Resume
Data Science,"python pandas numpy scipy machine learning deep learning NLP tensorflow keras statistics data analysis"
Data Science,"data scientist python sklearn feature engineering data preprocessing predictive modeling AI analytics"
Data Science,"deep learning neural networks computer vision NLP tensorflow pytorch AI model optimization"
Data Science,"statistics probability python machine learning regression classification clustering data mining"
Data Science,"python data visualization matplotlib seaborn pandas numpy AI analytics machine learning"
Data Science,"NLP text processing sentiment analysis python machine learning deep learning data science"
Data Science,"python sklearn decision tree random forest machine learning classification regression"
Data Science,"data analytics python pandas numpy statistics visualization power bi tableau machine learning"

Web Developer,"html css javascript react angular bootstrap responsive web design frontend developer"
Web Developer,"frontend developer html css js react UI UX responsive web application design"
Web Developer,"full stack developer html css javascript node express mongodb web application"
Web Developer,"javascript react redux frontend UI responsive design bootstrap web development"
Web Developer,"web designer html css bootstrap javascript responsive layout frontend development"
Web Developer,"nodejs express mongodb javascript full stack development web application backend"
Web Developer,"html css javascript UI UX responsive design frontend engineer web development"
Web Developer,"react js frontend development javascript css html responsive UI web application"

Java Developer,"java spring boot hibernate microservices REST API backend development MySQL"
Java Developer,"core java OOP multithreading collections JDBC backend software development"
Java Developer,"spring framework java backend REST API SQL maven gradle enterprise application"
Java Developer,"java developer microservices spring boot backend application programming"
Java Developer,"java backend developer hibernate spring boot JDBC SQL application development"
Java Developer,"java programming OOP collections multithreading JDBC enterprise software"
Java Developer,"spring boot REST API backend microservices java developer software engineering"
Java Developer,"java enterprise development spring framework backend database integration"

HR,"human resource recruitment onboarding employee relations payroll communication HR operations"
HR,"HR manager staffing hiring employee engagement performance evaluation HR policies"
HR,"talent acquisition HR recruitment onboarding employee lifecycle communication"
HR,"HR executive payroll attendance employee relations recruitment HR administration"
HR,"HR generalist recruitment training performance management employee engagement HR"
HR,"human resource management staffing employee engagement recruitment HR communication"
HR,"HR operations onboarding recruitment payroll communication organizational development"
HR,"talent acquisition specialist HR recruitment employee engagement staffing"

Testing,"software testing QA manual testing automation selenium junit test cases defect tracking"
Testing,"quality assurance engineer automation testing selenium regression testing bug tracking"
Testing,"QA tester manual testing test planning software validation defect management"
Testing,"automation tester selenium junit testng QA regression testing defect reporting"
Testing,"software QA manual testing automation selenium test planning defect tracking"
Testing,"quality analyst manual automation testing software validation QA engineer"
Testing,"selenium automation testing QA regression testing test cases defect tracking"
Testing,"QA engineer manual testing automation selenium software validation"

DevOps,"docker kubernetes AWS CI CD pipeline linux shell scripting cloud deployment monitoring"
DevOps,"devops engineer AWS docker kubernetes jenkins CI CD automation cloud infrastructure"
DevOps,"continuous integration deployment AWS cloud terraform ansible devops automation"
DevOps,"linux shell scripting docker kubernetes AWS infrastructure automation devops"
DevOps,"AWS cloud engineer docker kubernetes CI CD pipeline infrastructure monitoring"
DevOps,"jenkins git docker kubernetes devops pipeline continuous integration deployment"
DevOps,"cloud infrastructure AWS docker kubernetes automation devops engineering"
DevOps,"CI CD pipeline AWS linux docker kubernetes cloud deployment automation"

Android Developer,"android developer java kotlin android studio mobile app UI XML firebase API integration"
Android Developer,"mobile application development android SDK java kotlin UI design API connectivity"
Android Developer,"android app developer kotlin java REST API firebase mobile UI UX development"
Android Developer,"android studio java kotlin UI design mobile software application development"
Android Developer,"android developer mobile UI XML kotlin java REST API integration"
Android Developer,"android SDK kotlin java mobile application UI development API connectivity"
Android Developer,"mobile app development java kotlin android studio UI UX firebase API"
Android Developer,"android application development java kotlin UI design REST API mobile app"

Data Analyst,"excel SQL power bi tableau data visualization dashboard reporting business analytics"
Data Analyst,"data analyst python pandas numpy visualization power bi tableau statistics reporting"
Data Analyst,"business analytics excel SQL dashboard reporting data visualization insights"
Data Analyst,"data visualization tableau power bi excel SQL analytics reporting business data"
Data Analyst,"data analyst python pandas visualization statistics dashboard reporting analytics"
Data Analyst,"business intelligence SQL excel tableau dashboard analytics reporting visualization"
Data Analyst,"data cleaning visualization reporting SQL excel analytics business intelligence"
Data Analyst,"power bi tableau SQL excel analytics data visualization reporting dashboard"

Network Engineer,"network engineer TCP IP routing switching firewall VPN network configuration troubleshooting"
Network Engineer,"cisco networking LAN WAN routing switching network administration troubleshooting"
Network Engineer,"network infrastructure TCP IP DNS DHCP firewall configuration troubleshooting"
Network Engineer,"network security routing switching firewall VPN TCP IP infrastructure"
Network Engineer,"LAN WAN network engineer routing switching firewall troubleshooting TCP IP"
Network Engineer,"cisco network engineer routing switching TCP IP DNS DHCP configuration"
Network Engineer,"network administration routing switching firewall VPN troubleshooting infrastructure"
Network Engineer,"network configuration TCP IP routing switching infrastructure security troubleshooting"

Cyber Security,"cyber security ethical hacking penetration testing vulnerability assessment network security"
Cyber Security,"information security risk assessment cryptography ethical hacking cyber defense"
Cyber Security,"security analyst threat detection vulnerability scanning network security penetration testing"
Cyber Security,"ethical hacking network security vulnerability assessment SIEM cybersecurity tools"
Cyber Security,"information security encryption risk analysis vulnerability penetration testing"
Cyber Security,"cyber defense ethical hacking vulnerability scanning network security tools"
Cyber Security,"security analyst ethical hacking penetration testing vulnerability analysis"
Cyber Security,"cyber security analyst threat detection vulnerability scanning encryption security"

Cloud Engineer,"AWS cloud computing EC2 S3 lambda cloud deployment infrastructure automation"
Cloud Engineer,"cloud engineer azure google cloud kubernetes docker cloud architecture deployment"
Cloud Engineer,"AWS cloud services infrastructure deployment monitoring cloud computing automation"
Cloud Engineer,"cloud computing AWS azure docker kubernetes infrastructure automation monitoring"
Cloud Engineer,"cloud engineer AWS EC2 S3 cloud architecture infrastructure deployment"
Cloud Engineer,"cloud services AWS azure infrastructure monitoring automation cloud engineer"
Cloud Engineer,"cloud architecture AWS docker kubernetes infrastructure deployment automation"
Cloud Engineer,"AWS cloud infrastructure EC2 S3 deployment monitoring cloud computing services"

UI Designer,"UI UX design figma adobe XD wireframe prototyping user interface usability testing"
UI Designer,"user experience designer wireframe prototyping UI design figma usability research"
UI Designer,"UI designer adobe XD figma interaction design prototype user interface"
UI Designer,"figma UI UX wireframe prototyping user interface usability research design"
UI Designer,"UI UX designer figma adobe XD prototype interface design usability testing"
UI Designer,"user interface designer figma wireframe prototyping UI UX research"
UI Designer,"UI design figma adobe XD interaction design user interface prototype"
UI Designer,"UX designer wireframe figma UI usability testing interaction design"